Tanggal,Inflow,Outflow,Curah Hujan
4/1/2023,173.883865356445,47.8794975280762,3.97993564605713
4/2/2023,101.027931213379,47.7606201171875,3.47736239433289
4/3/2023,30.1613082885742,47.6577377319336,3.4121835231781
4/4/2023,130.975280761719,47.5428161621094,3.43946194648743
4/5/2023,95.3075332641602,47.3809623718262,0.942417442798615
4/6/2023,56.3244323730469,47.0339813232422,17.7061805725098
4/7/2023,33.2948226928711,47.1115112304688,7.5200719833374
4/8/2023,41.7640495300293,46.7457962036133,0.772884130477905
4/9/2023,30.2589302062988,46.3866958618164,2.89441204071045
4/10/2023,24.8683032989502,45.8919639587402,0.720799446105957
4/11/2023,27.9091835021973,40.749942779541,1.85720372200012
4/12/2023,25.2292861938477,45.3981971740723,30.428747177124
4/13/2023,22.3699607849121,36.2413940429688,1.9768773317337
